전략,시장국면,거래일,청산거래,승률(%),평균수익률(%),실현손익,손익비율
TOP3,상승장,538,248,28.62903225806452,-0.6965145665871313,-33465016.293076772,0.7971020306513964
TOP3,횡보장,317,113,32.743362831858406,-0.06218767444624715,-889547.074385684,0.9873524737805752
TOP3,하락장,388,0,,,0.0,
TOP3,급락장,18,0,,,0.0,
TOP30,상승장,538,1169,30.881094952951237,-0.2970620883222598,-10957693.461291067,0.908062817363458
TOP30,횡보장,317,773,31.69469598965071,-0.3769319020342367,-9567166.364696793,0.8885722156289345
TOP30,하락장,388,0,,,0.0,
TOP30,급락장,18,0,,,0.0,
